k,d,n,tiempo, coste
2,3,47,5026.708413,1.564046
2,3,48,5580.065500,1.620926
2,3,49,6231.533507,1.634174
2,3,50,6895.262315,1.749182
2,3,51,7601.920344,1.830072
2,3,52,8408.366669,2.028383
2,3,53,9238.766363,2.106559
2,3,54,10137.328618,2.334791
2,3,55,11128.659212,2.525715
2,3,56,12225.000238,2.613302
2,3,57,13355.414446,2.671936
2,3,58,14614.952493,2.789143
2,3,59,15961.937657,2.855797
2,3,60,17363.570312,2.949760
2,3,61,18936.567863,3.065892
2,3,62,20383.685458,3.290469
2,3,63,22233.103816,3.520595
2,3,64,24078.162761,3.647161
2,3,65,25968.441974,3.723564
2,3,66,28058.290747,3.829437
2,3,67,30349.435810,3.906243
2,3,68,32568.590614,3.995842
2,3,69,35162.118616,4.068718
2,3,70,37863.847031,4.174589
2,3,71,40463.624364,4.241913
2,3,72,43653.853585,4.324776
2,3,73,46628.586547,4.362404
2,3,74,42969.228093,4.449005
2,3,75,46120.740441,4.514866
2,3,76,49033.145267,4.580505
2,3,80,76091.692655,4.891098
2,3,100,197485.898426,5.545669
2,3,120,491645.217815,6.896328
2,3,122,533913.565155,7.220518
2,3,124,604800.000000,7.639202
2,4,5,0.265359,0.109300
2,4,6,0.335741,0.213600
2,4,7,0.785342,0.300340
2,4,8,1.591766,0.368117
2,4,9,3.595041,0.420683
2,4,10,6.978917,0.497524
2,4,11,13.311747,0.601742
2,4,12,23.771993,0.674222
2,4,13,40.441794,0.754831
2,4,14,65.781533,0.893685
2,4,15,103.108651,1.030839
2,4,16,156.475927,1.163050
2,4,17,230.799384,1.290860
2,4,18,334.410616,1.444325
2,4,19,472.557222,1.620568
2,4,20,654.791533,1.713703
2,4,21,893.665725,1.744793
2,4,22,1202.493546,1.794306
2,4,23,1591.814530,1.825076
2,4,24,2081.376948,1.901594
2,4,25,2701.678254,1.927409
2,4,26,3450.061513,2.037314
2,4,27,4382.101462,2.079214
2,4,28,5486.350308,2.170124
2,4,29,6843.166152,2.331731
2,4,30,8447.995083,2.488558
2,4,31,10337.922382,2.595783
2,4,32,12618.372203,2.784089
2,4,33,15302.892242,2.888403
2,4,34,18368.110588,3.073636
2,4,35,21970.624696,3.173049
2,4,36,26208.907141,3.314721
2,4,37,31149.779341,3.392395
2,4,38,36790.077366,3.474086
2,4,39,43114.702265,3.497940
2,4,40,50421.098782,3.586157
2,4,41,58706.675521,3.603934
2,4,42,67954.919832,3.726457
2,4,43,78556.381444,3.816497
2,4,44,90314.778355,3.890169
2,4,50,172911.723317,4.811915
2,4,60,528588.460639,6.442712
2,5,5,0.285822,0.525700
2,5,6,0.964994,0.676875
2,5,7,1.542300,0.769740
2,5,8,3.280328,0.906387
2,5,9,9.100403,1.003090
2,5,10,20.932423,1.088158
2,5,11,46.842715,1.146023
2,5,12,95.641791,1.268954
2,5,13,182.663776,1.444503
2,5,14,329.150359,1.543696
2,5,15,570.482893,1.651262
2,5,16,947.612004,1.729213
2,5,17,1523.040106,2.171594
2,5,18,2377.138292,2.386120
2,5,19,3616.244439,2.514223
2,5,20,5355.941140,2.664500
2,5,21,7745.085274,2.812227
2,5,22,11031.557082,2.887721
2,5,23,15464.510563,2.948747
2,5,24,21348.214440,2.987820
2,5,25,29050.608703,3.108883
2,5,26,38916.286409,3.179759
2,5,27,51728.568917,3.339020
2,5,28,67839.487420,3.441693
2,5,29,87885.124941,3.881357
2,5,30,113114.803134,3.980734
2,5,31,144174.101666,4.063784
2,5,32,153164.574277,4.282452
2,5,36,424609.784229,4.962958
2,5,37,441578.966381,5.072850
3,2,5,218.659290,0.001600
3,2,6,905.181432,0.005350
3,2,7,2928.869167,0.013800
3,2,8,7930.428232,0.014800
3,2,9,18968.778663,0.015933
3,2,10,41134.373290,0.017617
3,2,11,82971.537692,0.019667
3,2,12,156606.170715,0.030608
3,2,13,280321.585840,0.037721
3,3,5,6884.676042,0.001800
3,3,6,48907.963347,0.006900
3,3,7,241622.215352,0.008650
3,4,5,23399.450470,0.052000
3,4,6,289983.025760,0.109300
3,5,5,64712.023209,0.149650
